Series,Part #,Load (lb),Stiffness (lb/in),Type,A (in),B (in),C (in),D (in),E (in),F (in),Plate ID (in),Plate Thickness (in)
2451,2451-X7,1100,36667,1,3.21,0.76,1.84,0.81,1.1,1.81,1.84,0.63
2452,,500 - 775,12500 - 19375,1,2.65,0.51,1.38,0.81,1.11,1.81,1.4,0.63
2452,2452-X3,500,12500,1,2.65,0.51,1.38,0.81,1.11,1.81,1.4,0.63
2452,2452-X4,650,16250,1,2.65,0.51,1.38,0.81,1.11,1.81,1.4,0.63
2452,2452-X5,775,19375,1,2.65,0.51,1.38,0.81,1.11,1.81,1.4,0.63
2453,,475 - 475,15833 - 15833,1,3.21,0.65,1.84,0.81,1.1,1.81,1.84,0.63
2453,2453-X2,475,15833,1,3.21,0.65,1.84,0.81,1.1,1.81,1.84,0.63
2454,,170 - 280,4857 - 8000,1,2.22,0.52,1.38,0.72,1.03,1.81,1.4,0.63
2454,2454-X5,280,8000,1,2.22,0.52,1.38,0.72,1.03,1.81,1.4,0.63
2454,2454-X3,170,4857,1,2.22,0.52,1.38,0.72,1.03,1.81,1.4,0.63
2454,2454-X4,220,6286,1,2.22,0.52,1.38,0.72,1.03,1.81,1.4,0.63
2455,,700 - 1500,15555 - 33335,1,3.28,0.81,1.83,0.8,1.11,3.31,1.84,2.13
2455,2455-X3,700,15555,1,3.28,0.81,1.83,0.8,1.11,3.31,1.84,2.13
2455,2455-X4,900,20000,1,3.28,0.81,1.83,0.8,1.11,3.31,1.84,2.13
2455,2455-X5,1200,26670,1,3.28,0.81,1.83,0.8,1.11,3.31,1.84,2.13
2455,2455-X6,1500,33335,1,3.28,0.81,1.83,0.8,1.11,3.31,1.84,2.13
2460,,1800 - 2900,18000 - 29000,1,3.5,0.94,2.22,1,1.4,2.89,2.25,1.13
2460,2460-X5,1800,18000,1,3.5,0.94,2.22,1,1.4,2.89,2.25,1.13
2460,2460-X6,2300,23000,1,3.5,0.94,2.22,1,1.4,2.89,2.25,1.13
2460,2460-X7,2900,29000,1,3.5,0.94,2.22,1,1.4,2.89,2.25,1.13
2475,,110 - 225,1222 - 2500,1,2,0.51,1.36,1.75,1.86,3.5,1.38,0.25
2475,2475-X4,110,1222,1,2,0.51,1.36,1.75,1.86,3.5,1.38,0.25
2475,2475-X5,125,1389,1,2,0.51,1.36,1.75,1.86,3.5,1.38,0.25
2475,2475-X7,225,2500,1,2,0.51,1.36,1.75,1.86,3.5,1.38,0.25
2480,,400 - 400,5714 - 5714,2,2.55,0.66,1.48,0.74,1.44,2.63,1.5,0.5
2480,2480-X3,400,5714,2,2.55,0.66,1.48,0.74,1.44,2.63,1.5,0.5
