Series,Part #,Load (lb),Stiffness (lb/in),Type (for image),A (in),B (in),C (in),D (in),E (in),F (in),Plate ID (in),Plate Thickness (in)
2210,,225 - 350,4090 - 6365,1,2,0.64,1.33,1.38,0.53,1.6,1.25,0.62
2210,2210-X2,225,4090,1,2,0.64,1.33,1.38,0.53,1.6,1.25,0.62
2210,2210-X4,350,6365,1,2,0.64,1.33,1.38,0.53,1.6,1.25,0.62
2220,,240 - 360,4000 - 6000,1,2,0.53,1.35,1.38,0.53,1.64,1.25,0.62
2220,2220-X3,240,4000,1,2,0.53,1.35,1.38,0.53,1.64,1.25,0.62
2220,2220-X4,300,5000,1,2,0.53,1.35,1.38,0.53,1.64,1.25,0.62
2220,2220-X5,360,6000,1,2,0.53,1.35,1.38,0.53,1.64,1.25,0.62
2222A,,400 - 575,3333 - 4792,2,2,0.53,1.92,1.45,0.85,2,2,
2222A,2222A-X3,400,3333,2,2,0.53,1.92,1.45,0.85,2,2,
2222A,2222A-X4,475,3958,2,2,0.53,1.92,1.45,0.85,2,2,
2222A,2222A-X5,575,4792,2,2,0.53,1.92,1.45,0.85,2,2,
2230,,210 - 500,2333 - 5555,1,2,0.53,1.38,1.45,0.75,2,1.25,0.5
2230,2230-X1,210,2333,1,2,0.53,1.38,1.45,0.75,2,1.25,0.5
2230,2230-X2,240,2667,1,2,0.53,1.38,1.45,0.75,2,1.25,0.5
2230,2230-X3,320,3555,1,2,0.53,1.38,1.45,0.75,2,1.25,0.5
2230,2230-X5,380,4222,1,2,0.53,1.38,1.45,0.75,2,1.25,0.5
2230,2230-X6,500,5555,1,2,0.53,1.38,1.45,0.75,2,1.25,0.5
2231,,280 - 400,1556 - 2222,1,2,0.53,1.38,2.2,0.75,2.75,1.25,0.5
2231,2231-X2,280,1556,1,2,0.53,1.38,2.2,0.75,2.75,1.25,0.5
2231,2231-X3,340,1889,1,2,0.53,1.38,2.2,0.75,2.75,1.25,0.5
2231,2231-X4,400,2222,1,2,0.53,1.38,2.2,0.75,2.75,1.25,0.5
2240,,450 - 1200,5000 - 13333,1,2.35,0.64,1.5,1.5,0.7,2.1,1.38,0.62
2240,2240-X3,450,5000,1,2.35,0.64,1.5,1.5,0.7,2.1,1.38,0.62
2240,2240-X4,600,6667,1,2.35,0.64,1.5,1.5,0.7,2.1,1.38,0.62
2240,2240-X5,700,7778,1,2.35,0.64,1.5,1.5,0.7,2.1,1.38,0.62
2240,2240-X7,1200,13333,1,2.35,0.64,1.5,1.5,0.7,2.1,1.38,0.62
2240A,,510 - 655,5417 - 6250,2,2.35,0.66,2.19,1.5,0.82,2.11,2.38,
2240A,2240A-X4,510,5417,2,2.35,0.66,2.19,1.5,0.82,2.11,2.38,
